t_s,x2_control_m,x2_delta_theta2_1e-08_m,x2_delta_theta2_1e-06_m,x2_delta_theta2_0.0001_m,x2_delta_theta2_0.01_m,x2_delta_theta2_2_m
1.030000000000000027e+00,-1.369671567358550446e+00,-1.369671574993040375e+00,-1.369672330806328997e+00,-1.369747901012146052e+00,-1.377192089949755172e+00,-1.061194917527121140e+00
1.040000000000000036e+00,-1.426050676237917481e+00,-1.426050683592668733e+00,-1.426051411711628747e+00,-1.426124209987491342e+00,-1.433265830312044020e+00,-1.124486826779648396e+00
1.050000000000000044e+00,-1.479638104762493800e+00,-1.479638111617471052e+00,-1.479638790258416714e+00,-1.479706637600378238e+00,-1.486321529876053704e+00,-1.186178831289233848e+00
1.060000000000000053e+00,-1.529627826386159128e+00,-1.529627832472575388e+00,-1.529628435025617073e+00,-1.529688669928552347e+00,-1.535505883989981335e+00,-1.246298896694448821e+00
1.070000000000000062e+00,-1.575084021806267831e+00,-1.575084026821315542e+00,-1.575084523308496021e+00,-1.575134147896950276e+00,-1.579853835948155094e+00,-1.304851423495946516e+00
1.080000000000000071e+00,-1.615022719893704828e+00,-1.615022723538955152e+00,-1.615023084415950105e+00,-1.615059144993934215e+00,-1.618394297724021769e+00,-1.361813546590052271e+00
1.090000000000000080e+00,-1.648566642472041099e+00,-1.648566644512497792e+00,-1.648566846514801121e+00,-1.648587018339545462e+00,-1.650323007449501223e+00,-1.417131355631628065e+00
1.100000000000000089e+00,-1.675132779353452506e+00,-1.675132779673579542e+00,-1.675132811363312602e+00,-1.675135952958402008e+00,-1.675181732940093093e+00,-1.470715877614302558e+00
1.110000000000000098e+00,-1.694559943924989209e+00,-1.694559942549539899e+00,-1.694559806377510469e+00,-1.694546164976797886e+00,-1.692947159640714627e+00,-1.522438694328833719e+00
1.120000000000000107e+00,-1.707103104613435729e+00,-1.707103101682659663e+00,-1.707102811533770303e+00,-1.707073777008171422e+00,-1.703981654829038961e+00,-1.572127177754601313e+00
1.130000000000000115e+00,-1.713311856684871293e+00,-1.713311852404616031e+00,-1.713311428657771085e+00,-1.713269039385509007e+00,-1.708891620927621702e+00,-1.619559576557668468e+00
1.140000000000000124e+00,-1.713874652273706278e+00,-1.713874646868312368e+00,-1.713874111733241445e+00,-1.713820588524082034e+00,-1.708377836003692529e+00,-1.664460673495518295e+00
1.150000000000000133e+00,-1.709496102094927306e+00,-1.709496095776800395e+00,-1.709495470281651608e+00,-1.709432915452444579e+00,-1.703129922510763006e+00,-1.706499586250131095e+00
1.159999999999999920e+00,-1.700827051022278713e+00,-1.700827043977796826e+00,-1.700826346573872883e+00,-1.700756604653086201e+00,-1.693771836912429496e+00,-1.745292601033966662e+00
1.169999999999999929e+00,-1.688436606111554772e+00,-1.688436598497574437e+00,-1.688435844713578771e+00,-1.688360467991135483e+00,-1.680843462181476067e+00,-1.780415568382002878e+00
1.179999999999999938e+00,-1.672808621915595317e+00,-1.672808613861265226e+00,-1.672807816482942300e+00,-1.672728083025884604e+00,-1.664801703858822091e+00,-1.811431529118301409e+00
1.189999999999999947e+00,-1.654349420475971666e+00,-1.654349412086548510e+00,-1.654348581534256679e+00,-1.654265532956004980e+00,-1.646029842787446240e+00,-1.837937869481665931e+00
1.199999999999999956e+00,-1.633399189862274614e+00,-1.633399181223263330e+00,-1.633398325961890940e+00,-1.633312808408488692e+00,-1.624849101397718432e+00,-1.859630697966042412e+00
