t_s,x2_control_m,x2_delta_theta2_1e-08_m,x2_delta_theta2_1e-06_m,x2_delta_theta2_0.0001_m,x2_delta_theta2_0.01_m,x2_delta_theta2_2_m
7.099999999999999645e-01,-7.385192153690740835e-02,-7.385192314490394982e-02,-7.385208233649523391e-02,-7.386800099054750823e-02,-7.545490887209599373e-02,2.020623422611927400e-01
7.199999999999999734e-01,-8.809382071405594261e-02,-8.809382244925978434e-02,-8.809399423437200283e-02,-8.811117223305865720e-02,-8.982394617043762408e-02,1.538808257176347283e-01
7.299999999999999822e-01,-1.022781308565534342e-01,-1.022781327155789649e-01,-1.022783167590257669e-01,-1.022967205838259119e-01,-1.041320092032200773e-01,1.065791218624887460e-01
7.399999999999999911e-01,-1.163957891091512015e-01,-1.163957910887685465e-01,-1.163959870707896027e-01,-1.164155847456994630e-01,-1.183701901165820081e-01,6.020116816964715678e-02
7.500000000000000000e-01,-1.304378176112021559e-01,-1.304378197083473911e-01,-1.304380273256221801e-01,-1.304587885185254093e-01,-1.325296761169058035e-01,1.477031190610683664e-02
7.600000000000000089e-01,-1.443953338062813341e-01,-1.443953360180653678e-01,-1.443955549845800101e-01,-1.444174510939176259e-01,-1.466017583473997465e-01,-2.970363353614685620e-02
7.700000000000000178e-01,-1.582595603623619396e-01,-1.582595626860778815e-01,-1.582597927338483812e-01,-1.582827969609251206e-01,-1.605778403462520543e-01,-7.321987943940616583e-02
7.800000000000000266e-01,-1.720218346560593026e-01,-1.720218370891881676e-01,-1.720220779688353963e-01,-1.720461653753255771e-01,-1.744494461246369199e-01,-1.157838580912019522e-01
7.900000000000000355e-01,-1.856736178023025152e-01,-1.856736203425175258e-01,-1.856738718236937979e-01,-1.856990193742785733e-01,-1.882082277400072834e-01,-1.574055362142721681e-01
8.000000000000000444e-01,-1.992065032090620802e-01,-1.992065058542315525e-01,-1.992067677259004577e-01,-1.992329543162682792e-01,-2.018459724209847594e-01,-1.980984471643473244e-01
8.100000000000000533e-01,-2.126122246249772529e-01,-2.126122273731659573e-01,-2.126124994437413318e-01,-2.126397059144927160e-01,-2.153546092207140328e-01,-2.378791752897712608e-01
8.200000000000000622e-01,-2.258826636480021355e-01,-2.258826664974713794e-01,-2.258829485948217752e-01,-2.259111577319086739e-01,-2.287262151912052288e-01,-2.767671138420001453e-01
8.300000000000000711e-01,-2.390098566923258283e-01,-2.390098596415320409e-01,-2.390101516128418924e-01,-2.390393481337449999e-01,-2.419530210584248386e-01,-3.147843758008141424e-01
8.399999999999999689e-01,-2.519860014375999713e-01,-2.519860044851920944e-01,-2.519863061967028139e-01,-2.520164767245192117e-01,-2.550274163814064687e-01,-3.519557753044089687e-01
8.499999999999999778e-01,-2.648034626792973856e-01,-2.648034658241129047e-01,-2.648037771607429924e-01,-2.648349101862469412e-01,-2.679419542458758019e-01,-3.883088231668678225e-01
8.599999999999999867e-01,-2.774547776246550912e-01,-2.774547808657153447e-01,-2.774551017305674216e-01,-2.774871875629292828e-01,-2.806893554669540602e-01,-4.238736977417336127e-01
8.699999999999999956e-01,-2.899326606298177067e-01,-2.899326639663215577e-01,-2.899329942800817905e-01,-2.899660249868545869e-01,-2.932625122738790058e-01,-4.586831656260014767e-01
8.800000000000000044e-01,-3.022300073791618913e-01,-3.022300108104787331e-01,-3.022303505107210020e-01,-3.022643198482806159e-01,-3.056544915211202862e-01,-4.927724358979713171e-01
8.900000000000000133e-01,-3.143398984975886989e-01,-3.143399020232506835e-01,-3.143402510636579827e-01,-3.143751543993724695e-01,-3.178585374312102863e-01,-5.261789405387855556e-01
9.000000000000000222e-01,-3.262556025923641911e-01,-3.262556062120574030e-01,-3.262559645615680792e-01,-3.262917987884481619e-01,-3.298680738742748586e-01,-5.589420389507140374e-01
9.100000000000000311e-01,-3.379705787958827701e-01,-3.379705825094382332e-01,-3.379709501513040171e-01,-3.380077135938727162e-01,-3.416767061838559827e-01,-5.911026508517565059e-01
9.200000000000000400e-01,-3.494784787765562450e-01,-3.494784825839393760e-01,-3.494788595147433341e-01,-3.495165518308360753e-01,-3.532782225109488694e-01,-6.227028254941573415e-01
9.300000000000000488e-01,-3.607731482208376139e-01,-3.607731521221381188e-01,-3.607735383507556515e-01,-3.608121604276336436e-01,-3.646665947844170974e-01,-6.537852593501514153e-01
9.400000000000000577e-01,-3.718486278339211415e-01,-3.718486318293418025e-01,-3.718490273758576770e-01,-3.718885812219362430e-01,-3.758359792692108625e-01,-6.843927761190115033e-01
9.500000000000000666e-01,-3.826991538810571303e-01,-3.826991579709028146e-01,-3.826995628654901171e-01,-3.827400514982922664e-01,-3.867807166950603670e-01,-7.145677849293643469e-01
9.599999999999999645e-01,-3.933191582841645273e-01,-3.933191624688302523e-01,-3.933195767506043050e-01,-3.933610040821339249e-01,-3.974953320317007321e-01,-7.443517327269295603e-01
9.699999999999999734e-01,-4.037032682835856034e-01,-4.037032725635451569e-01,-4.037036962794038342e-01,-4.037460670001619123e-01,-4.079745339101612522e-01,-7.737845667079381595e-01
9.799999999999999822e-01,-4.138463056759920655e-01,-4.138463100517860149e-01,-4.138467432552465075e-01,-4.138900627179767366e-01,-4.182132137119964899e-01,-8.029042210127519397e-01
9.899999999999999911e-01,-4.237432857046716794e-01,-4.237432901768952154e-01,-4.237437329268906039e-01,-4.237880070262038945e-01,-4.282064443418044375e-01,-8.317461401143676492e-01
1.000000000000000000e+00,-4.333894156289296307e-01,-4.333894201982209093e-01,-4.333898725579322653e-01,-4.334351076135072312e-01,-4.379494786989007182e-01,-8.603428486545640075e-01
1.010000000000000009e+00,-4.427800929104342975e-01,-4.427800975774626724e-01,-4.427805596131413890e-01,-4.428267622519485025e-01,-4.474377478895948945e-01,-8.887235750529758338e-01
1.020000000000000018e+00,-4.519109031343047089e-01,-4.519109078997586293e-01,-4.519113796795622418e-01,-4.519585567194293052e-01,-4.566668592069278443e-01,-9.169139326312155669e-01
